a,啊
keese,架勢
keese,kèe-sè
keesek,假釋
keesek,kée-sek
keesi,家私
keesi,家世
keesi,假死
keesi,kee-si
keesi,kee-sì
keesi,kée-sí
keesia,改寫
keesia,kée-siá
keesian,假仙
keesian,kée-sian
keesiankeetak,假仙假觸
keesiankeetak,kée-sian-kée-tak
keesiat,假設
keesiat,kée-siat
keesiau,假痟
keesiau,價數
keesiau,kée-siáu
keesiau,kèe-siàu
keesiau,假數
keesiau,kée-siàu
keesikeeuah,假死假活
keesikeeuah,kée-sí-kée-ua̍h
keesilong,家私廊
keesilong,kee-si-lóng
keesin,家神
keesin,kee-sîn
keesiong,加上
keesiong,假想
keesiong,假象
keesiong,kee-siōng
keesiong,kée-sióng
keesiong,kée-siōng
keesithau,家私頭
keesithau,kee-si-thâu
keesok,加速
keesok,kee-sok
keesu,家事
keesu,假使
keesu,kee-sū
keesu,kée-sú
keesuann,假山
keesuann,kée-suann
keetat,價值
keetat,kèe-ta̍t
keete,家底
keete,kee-té
keeteng,家庭
keeteng,假定
keeteng,kee-têng
keeteng,kée-tēng
keethaumoo,假頭毛
keethaumoo,kée-thâu-môo
keethiam,加添
keethiam,kee-thiam
keetian,家電
keetian,kee-tiān
keetiaunn,家長
keetiaunn,kee-tiáunn
keetoo,改途
keetoo,kée-tôo
keetsabookiann,嫁查某囝
keetsabookiann,kèe-tsa-bóo-kiánn
keetsha,價差
keetsha,kèe-tsha
keetshua,嫁娶
keetshua,低厝仔
keetshua,kèe-tshuā
keetshua,kēe-tshù-á
keetshui,改喙
keetshui,kée-tshuì
keetshuikeetsih,加喙加舌
keetshuikeetsih,kee-tshuì-kee-tsi̍h
keetshuikhi,假喙齒
keetshuikhi,kée-tshuì-khí
keetsinn,價錢
keetsinn,kèe-tsînn
keetsiu,改酒
keetsiu,kée-tsiú
keetsng,嫁粧
keetsng,kèe-tsng
keetso,加做
keetso,kee-tsò
keetsong,改裝
keetsong,kée-tsong
keetsui,加水
keetsui,kee-tsuí
keeua,加話
keeua,加話
keeua,假話
keeua,kee-uā
keeua,kée-uā
keeuann,改換
keeuann,kée-uānn
keeun,改運
keeun,kée-ūn
keheng,雞胸
keheng,ke-heng
kehueh,雞血
kehueh,ke-hueh
keilou,基佬
keilou,kéi-lôu
keiu,雞油
keiu,ke-iû
kejiau,雞爪
kejiau,ke-jiáu
kek,革
kek,戟
kek,激
kek,擊
kek,極
kek,kek
kek,ke̍k
kekak,雞角
kekak,ke-kak
kekau,計較
kekau,kè-kàu
kekbeng,革命
kekbeng,kek-bēng
kekbintshiaunn,激面腔
kekbintshiaunn,kek-bīn-tshiaunn
kekbintshionn,激面腔
kekbintshionn,kek-bīn-tshionn
kekguagua,激外外
kekguagua,kek-guā-guā
kekha,雞骹
kekha,ke-kha
kekhatshuinn,雞尻脽
kekhatshuinn,ke-kha-tshuinn
kekian,雞繭
kekian,ke-kián
kekiann,雞囝
kekiann,ke-kiánn
kekjio,激尿
kekjio,kek-jiō
kekkhang,激空
kekkhang,kek-khang
kekkhi,激氣
kekkhi,kek-khì
kekkhiaunn,激腔
kekkhiaunn,kek-khiaunn
kekkhionn,激腔
kekkhionn,kek-khionn
kekkhongkekgong,激悾激戇
kekkhongkekgong,kek-khōng-kek-gōng
kekkhookhoo,激怐怐
kekkhookhoo,kek-khòo-khòo
kekkut,激骨
kekkut,kek-kut
keklat,激力
keklat,kek-la̍t
kekle,激勵
kekle,kek-lē
keklek,極力
keklek,ke̍k-le̍k
kekliat,激烈
kekliat,劇烈
kekliat,kek-lia̍t
kekliat,ke̍k-lia̍t
keklo,激腦
keklo,kek-ló
keklok,極樂
keklok,ke̍k-lo̍k
kekloksekai,極樂世界
kekloksekai,ke̍k-lo̍k-sè-kài
kekloksi,極樂寺
kekloksi,ke̍k-lo̍k-sī
kekngoojin,激五仁
kekngoojin,kek-ngóo-jîn
kekphaithau,激派頭
kekphaithau,kek-phài-thâu
keksai,激屎
keksai,kek-sái
keksi,激死
keksi,kek-sí
keksim,激心
keksim,kek-sim
keksin,革新
keksin,kek-sin
kekthe,擊退
kekthe,kek-thè
kektong,激動
kektong,kek-tōng
kektoo,極度
kektoo,ke̍k-tōo
kektseng,激情
kektseng,kek-tsêng
kektshiobin,激笑面
kektshiobin,kek-tshiò-bīn
kektsiu,激酒
kektsiu,kek-tsiú
kektuan,極端
kektuan,ke̍k-tuan
kekuann,雞肝
kekuann,ke-kuann
kekuinn,雞卷
kekuinn,ke-kuínn
kekut,雞骨
kekut,ke-kut
keliau,雞寮
keliau,雞料
keliau,ke-liâu
keliau,ke-liāu
kemoo,雞毛
kemoo,ke-môo
kemootsheng,雞毛筅
kemootsheng,ke-môo-tshéng
kemootshiu,雞毛帚
kemootshiu,ke-môo-tshiú
keng,京
keng,庚
keng,肩
keng,矜
keng,耕
keng,荊
keng,莖
keng,間
keng,經
keng,擎
Keng,耿
keng,梗
keng,揀
keng,景
keng,筧
keng,境
keng,襇
keng,繭
keng,警
Keng,龔
keng,更
keng,徑
keng,竟
keng,敬
keng,勁
keng,楗
keng,競
keng,keng
keng,kéng
keng,kèng
keng,kēng
keng,窮
keng,kêng
kenga,弓仔
kenga,間仔
kenga,keng-á
kengai,敬愛
kengai,kèng-ài
Kengan,景安
Kengan,Kéng-an
Kengbekhe,景美溪
Kengbekhe,Kéng-bé-khe
kengbio,宮廟
kengbio,keng-biō
kengboo,經貿
kengboo,keng-bōo
Kengbue,梘尾
Kengbue,景美
Kengbue,Kéng-bué
kengbun,經文
kengbun,keng-bûn
kengbut,景物
kengbut,kéng-bu̍t
kengeng,經營
kengeng,keng-êng
kenggiam,經驗
kenggiam,keng-giām
kengho,敬賀
kengho,kèng-hō
Kenghokkiong,景福宮
Kenghokkiong,Kéng-hok-kiong
kenghong,警方
kenghong,景況
kenghong,kéng-hong
kenghong,kéng-hóng
kenghu,鯨魚
kenghu,keng-hû
kenghui,經費
kenghui,警匪
kenghui,keng-huì
kenghui,kéng-huí
kengi,敬意
kengi,kèng-ì
kengiu,經由
kengiu,keng-iû
kengjian,竟然
kengjian,kèng-jiân
kengka,更加
kengka,kèng-ka
kengkah,肩胛
kengkah,keng-kah
kengkahthau,肩胛頭
kengkahthau,keng-kah-thâu
kengkai,更改
kengkai,境界
kengkai,警戒
kengkai,警界
kengkai,keng-kái
kengkai,kéng-kài
kengkak,警覺
kengkak,kéng-kak
kengkhi,景氣
kengkhi,kéng-khì
kengkhui,弓開
kengkhui,keng--khui
kengki,經期
kengki,競技
kengki,keng-kî
kengki,kēng-ki
kengkianhue,經建會
kengkianhue,keng-kiàn-huē
kengkiok,警局
kengkiok,kéng-kio̍k
kengko,警告
kengko,敬告
kengko,kéng-kò
kengko,kèng-kò
Kengkong,警廣
Kengkong,Kéng-kóng
kengkuan,景觀
kengkuan,kéng-kuan
kengkuann,警官
kengkuann,kéng-kuann
kengkue,經過
kengkue,keng-kuè
kenglai,境內
kenglai,kéng-lāi
kengle,敬禮
kengle,kèng-lé
kenglek,經歷
kenglek,警力
kenglek,keng-le̍k
kenglek,kéng-le̍k
kengli,經理
kengli,keng-lí
kenglian,竟然
kenglian,kèng-liân
kenglianki,更年期
kenglianki,keng-liân-kî
kenglo,敬老
kenglo,kèng-ló
kengpio,競標
kengpio,kēng-pio
kengpo,警報
kengpo,kéng-pò
kengpue,敬佩
kengpue,kèng-puē
kengsai,競賽
kengsai,kēng-sài
kengsek,景色
kengsek,kéng-sek
kengseng,更生
kengseng,keng-seng
kengsiau,經銷
kengsiau,警消
kengsiau,keng-siau
kengsiau,kéng-siau
kengsin,更新
kengsin,keng-sin
kengsiong,經商
kengsiong,景象
kengsiong,keng-siong
kengsiong,kéng-siōng
kengsuan,競選
kengsuan,kēng-suán
Kengsuannkhe,景山溪
Kengsuannkhe,Kéng-suann-khe
kengte,境地
kengte,kéng-tē
kengtee,揀茶
kengtee,kéng-têe
kengthau,肩頭
kengthau,keng-thâu
kengthaunau,弓頭腦
kengthaunau,keng-thâu-náu
kengthe,供體
kengthe,keng-thé
kengti,景緻
kengti,景致
kengti,kéng-tì
kengtiam,景點
kengtiam,kéng-tiám
kengtian,經典
kengtian,keng-tián
kengtiaunn,警長
kengtiaunn,kéng-tiáunn
kengtiong,敬重
kengtiong,kèng-tiōng
kengtionn,警長
kengtionn,kéng-tiónn
kengtse,經濟
kengtse,keng-tsè
kengtsebihun,經濟米粉
kengtsebihun,keng-tsè-bí-hún
kengtsehak,經濟學
kengtsehak,keng-tsè-ha̍k
kengtseng,更正
kengtseng,警政
kengtseng,競爭
kengtseng,keng-tsèng
kengtseng,kéng-tsèng
kengtseng,kēng-tseng
kengtsenglek,競爭力
kengtsenglek,kēng-tseng-le̍k
kengtsepuinn,經濟飯
kengtsepuinn,keng-tsè-puīnn
kengtshai,揀菜
kengtshai,kéng,tshài
kengtshat,警察
kengtshat,kéng-tshat
kengtshatkiok,警察局
kengtshatkiok,kéng-tshat-kio̍k
kengtsheeh,經冊
kengtsheeh,keng-tsheeh
kengtshia,警車
kengtshia,kéng-tshia
kengtshiu,經手
kengtshiu,keng-tshiú
kengtsiah,揀食
kengtsiah,kéng-tsia̍h
kengtsinn,弓箭
kengtsinn,keng-tsìnn
kengtsiu,敬酒
kengtsiu,kèng-tsiú
kenguan,警員
kenguan,kéng-uân
kengue,警衛
kengue,kéng-uē
kennsi,哽死
kennsi,kénn-sí
kenua,雞僆
kenua,ke-nuā
kenui,雞卵
kenui,ke-nuī
kenuiko,雞卵糕
kenuiko,ke-nuī-ko
kenuikuinn,雞卵卷
kenuikuinn,ke-nuī-kuínn
kephue,雞皮
kephue,ke-phuê
kepo,雞婆
kepo,ke-pô
kepotsinn,雞婆精
kepotsinn,ke-pô-tsinn
kepuinn,雞飯
kepuinn,ke-puīnn
keseng,繼承
keseng,kè-sêng
kesim,雞心
kesim,ke-sim
kesuinn,計算
kesuinn,kè-suìnn
kethau,雞頭
kethau,ke-thâu
kethengtshia,計程車
kethengtshia,kè-thêng-tshia
kethng,雞湯
kethng,ke-thng
kethui,雞腿
kethui,ke-thuí
keti,計智
keti,kè-tì
ketiaunn,雞場
ketiaunn,ke-tiâunn
ketionn,雞場
ketionn,ke-tiônn
ketseng,雞精
ketseng,ke-tseng
ketshek,計策
ketshek,kè-tshek
ketsheng,雞筅
ketsheng,ke-tshéng
keua,計畫
keua,計劃
keua,kè-uā
khabak,骹目
khabak,kha-ba̍k
khabue,骹尾
khabue,kha-bué
khabuekiau,骹尾儌
khabuekiau,kha-bué-kiáu
khabuepuinn,跤尾飯
khabuepuinn,kha-bué-puīnn
khabuetsua,骹尾紙
khabuetsua,kha-bué-tsuá
khahaulai,較後來
khahaulai,khah-āu-lâi
khahban,較慢
khahban,khah-bān
khaheng,較閒
khaheng,khah-êng
khahho,較好
khahho,khah-hó
khahiann,較贏
khahiann,khah-iânn
khahkee,較加
khahkee,khah-kee
khahkin,較緊
khahkin,khah-kín
khahmee,較猛
khahmee,khah-mée
khahoh,較僫
khahoh,khah-oh
khahphainn,較歹
khahphainn,khah-pháinn
khahtan,較等
khahtan,khah-tán
khahtheng,較停
khahtheng,khah-thêng
khahtsiann,較正
khahtsiann,khah-tsiànn
khahuann,較晏
khahuann,khah-uànn
khahubin,較有面
khahubin,khah-ū-bīn
khaibeng,開明
khaibeng,khai-bêng
khaikongsiau,開公數
khaikongsiau,khai-kong-siàu
khailui,開鐳
khailui,khai-lui
khain,骹印
khain,kha-ìn
khainn,敱
khainn,kháinn
khaisai,開使
khaisai,khai-sái
khaisiau,開鎖
khaisiau,khai-siau
khaitsabooe,開查某的
khaitsabooe,khai-tsa-bóo-ê
khaitsaitseh,開齋節
khaitsaitseh,khai-tsai-tseh
khajiah,骹跡
khajiah,kha-jiah
khakee,跤枷
khakee,kha-kêe
khakhuan,骹環
khakhuan,kha-khuân
khakiah,骹屐
khakiah,kha-kia̍h
khakiu,骹球
khakiu,kha-kiû
khakteng,確定
khakteng,khak-tēng
khaku,枷錮
khaku,跤跔
khaku,kha-ku
khakukeng,枷錮間
khakukeng,跤跔間
khakukeng,kha-ku-keng
khakulau,枷錮樓
khakulau,kha-ku-lâu
khakupang,枷錮房
khakupang,kha-ku-pâng
khakut,骹骨
khakut,kha-kut
khaliam,跤臁
khaliam,kha-liâm
khaliau,跤鐐
khaliau,kha-liâu
kham,闔
khamheng,勘兇
khamheng,khàm-heng
khamhiatkak,闔㧒捔
khamhiatkak,khàm-hiat-ka̍k
khamhue,闔火
khamhue,khàm-hué
khamin,闔印
khamin,khàm-ìn
khamkhoo,勘苦
khamkhoo,kham-khóo
khamkua,闔蓋
khamkua,khàm-kuà
khamkuan,闔棺
khamkuan,khàm-kuan
khamtann,闔檔
khamtann,khàm-tānn
khamteng,崁頂
khamteng,闔頂
khamteng,khàm-téng
Khamtenghiong,崁頂鄉
Khamtenghiong,Khàm-téng-hiong
khamtiam,闔店
khamtiam,khàm-tiàm
khamtiau,闔掉
khamtiau,khàm-tiāu
khamtseng,闔盅
khamtseng,khàm-tseng
khamtshiuin,闔手印
khamtshiuin,khàm-tshiú-ìn
khamtsiahkhoo,勘食苦
khamtsiahkhoo,kham-tsia̍h-khóo
khamua,歁話
khamua,khám-uā
khamui,敲門
khamui,撽門
khamui,khà-muî
khangkhang,空空
khangkhang,khang-khang
khangpeeh,空白
khangpeeh,khàng-pe̍eh
khangsim,空心
khangsim,khang-sim
khangtsheeh,空冊
khangtsheeh,khang-tsheeh
khangtshu,空茨
khangtshu,khang-tshù
khangtshukeng,空厝間
khangtshukeng,khang-tshù-keng
khankau,牽猴
khankau,khan-kâu
khanseng,牽成
khanseng,khan-sêng
khansiann,牽聲
khansiann,khan-siann
khanteng,刊登
khanteng,khan-teng
khapang,跤枋
khapang,kha-pang
khapeeh,跤帛
khapeeh,kha-pe̍eh
khapeehsun,茭白筍
khapeehsun,kha-pe̍eh-sún
khaphuann,撽破
khaphuann,khà-phuànn
khapoo,骹步
khapoo,kha-pōo
khapoosiann,骹步聲
khapoosiann,kha-pōo-siann
khapuann,骹盤
khapuann,kha-puânn
khasaukenga,跤梢間仔
khasaukenga,kha-sau-keng-á
khasiau,家數
khasiau,kha-siàu
khatah,跤踏
khatah,kha-ta̍h
khatahpang,跤踏枋
khatahpang,kha-ta̍h-pang
khatahtshia,骹踏車
khatahtshia,kha-ta̍h-tshia
khate,骹底
khate,kha-té
khathauu,骹頭趺
khathauu,kha-thâu-u
khathui,骹腿
khathui,kha-thuí
khatian,撽電
khatian,khà-tiān
khatianua,敲電話
khatianua,撽電話
khatianua,khà-tiān-uā
khatsengthaua,跤指頭仔
khatsengthaua,kha-tséng-thâu-á
khatshiapenn,骹車棚
khatshiapenn,kha-tshia-pênn
khatshiu,骹手
khatshiu,kha-tshiú
khatshuinn,尻川
khatshuinn,尻脽
khatshuinn,kha-tshuinn
khatshuinnau,尻川後
khatshuinnau,kha-tshuinn-āu
khatshuinnkau,尻川溝
khatshuinnkau,kha-tshuinn-kau
khatshuinnkhang,尻川孔
khatshuinnkhang,尻脽空
khatshuinnkhang,kha-tshuinn-khang
khatshuinnkhau,尻川口
khatshuinnkhau,kha-tshuinn-kháu
khatshuinnkut,尻川骨
khatshuinnkut,kha-tshuinn-kut
khatshuinnphue,尻川䫌
khatshuinnphue,kha-tshuinn-phué
khatshuinntau,尻川斗
khatshuinntau,kha-tshuinn-táu
khatshuinnthau,尻川頭
khatshuinnthau,kha-tshuinn-thâu
khauek,口譯
khauek,kháu-e̍k
khauhok,口福
khauhok,kháu-hok
khaukeng,口供
khaukeng,kháu-keng
khaukhausiannsiann,口口聲聲
khaukhausiannsiann,kháu-kháu-siann-siann
khaulang,逑人
khaulang,khau-lâng
khaupee,哭爸
khaupee,khàu-pēe
khaupeeh,口白
khaupeeh,kháu-pe̍eh
khaupeekhaubo,哭爸哭母
khaupeekhaubo,kháu-pēe-kháu-bó
khausut,口述
khausut,kháu-su̍t
khautangkhausai,扣東扣西
khautangkhausai,khàu-tang-khàu-sai
khautapoo,逑丈夫
khautapoo,khau-tā-poo
khautohua,剾刀花
khautohua,khau-to-hua
khautsaboo,逑姹婦
khautsaboo,khau-tsa-bóo
khautshiu,剾鬚
khautshiu,khau-tshiu
khautshuitshiu,剾喙鬚
khautshuitshiu,khau-tshuì-tshiu
khe,架
khe,khè
khebeng,啟明
khebeng,khé-bêng
khebo,契母
khebo,khè-bó
khee,㧎
khee,khêe
kheehgu,客語
kheehgu,kheeh-gú
kheehguan,客源
kheehguan,kheeh-guân
kheehhoo,客戶
kheehhoo,kheeh-hōo
kheehka,客家
kheehka,kheeh-ka
kheehkhi,客氣
kheehkhi,kheeh-khì
kheehki,客機
kheehki,kheeh-ki
kheehkuan,客觀
kheehkuan,kheeh-kuan
Kheehlang,客人
Kheehlang,Kheeh-lâng
kheehpang,客房
kheehpang,kheeh-pâng
kheehthiann,客廳
kheehthiann,kheeh-thiann
kheehtiam,客店
kheehtiam,kheeh-tiàm
kheehtsan,客棧
kheehtsan,kheeh-tsàn
kheehtshuan,客串
kheehtshuan,kheeh-tshuàn
kheehtsiau,客鳥
kheehtsiau,kheeh-tsiáu
Kheehua,客話
Kheehua,Kheeh-uā
kheehun,客運
kheehun,kheeh-ūn
kheek,客
kheek,kheek
kheeleefee,茄哩啡
kheeleefee,khee-lée-fee
kheha,篋仔
kheha,kheh-á
khehiannti,契兄弟
khehiannti,khè-hiann-tī
khehkha,客跤
khehkha,kheh-kha
khek,克
khek,刻
khek,剋
khek,曲
khek,khek
khekhok,克服
khekhok,khek-ho̍k
khekina,刻印仔
khekina,khek-ìn-á
khekinn,溪墘
khekinn,khe-kînn
khekji,刻字
khekji,khek-jī
khekkhuan,刻款
khekkhuan,khek-khuán
khekkhui,克虧
khekkhui,khek-khui
khekmia,刻名
khekmia,khek-miâ
khekpan,刻板
khekpan,khek-pán
khekpok,刻薄
khekpok,khek-po̍k
khekpuann,曲盤
khekpuann,khek-puânn
kheng,坑
kheng,卿
kheng,傾
kheng,銎
kheng,肯
kheng,頃
kheng,慶
kheng,虹
kheng,kheng
kheng,khéng
kheng,khèng
kheng,khēng
khenga,筐仔
khenga,kheng-á
Khengankiong,慶安宮
Khengankiong,Khèng-an-kiong
khenghiong,傾向
khenghiong,kheng-hiòng
khengho,慶賀
khengho,khèng-hō
khenghua,瓊花
khenghua,khêng-hua
khenghun,窮分
khenghun,khêng-hun
khengkai,傾偈
khengkai,khéng-kâi
khengsiau,傾銷
khengsiau,kheng-siau
khengteng,肯定
khengteng,khéng-tēng
khengtian,慶典
khengtian,khèng-tián
khengtsan,慶讚
khengtsan,khèng-tsán
khengtsiok,慶祝
khengtsiok,khèng-tsiok
khepamak,契爸媽
khepamak,khè-pa-mak
khepee,契爸
khepee,khè-pēe
khepeebo,契父母
khepeebo,khè-pēe-bó
khetsimuai,契姊妹
khetsimuai,khè-tsí-muāi
khiabee,騎馬
khiabee,khiâ-bée
khiah,去矣
khiah,khì-ah
khiakee,徛家
khiakee,企家
khiakee,khiā-kee
khiakeetshu,企家厝
khiakeetshu,企家茨
khiakeetshu,徛家厝
khiakeetshu,khiā-kee-tshù
khiakhim,企琴
khiakhim,khiā-khîm
khialeng,徛靈
khialeng,khiā-lêng
khiamiong,儉用
khiamiong,khiām-iōng
khiamlang,欠人
khiamlang,khiàm-lâng
khiamlanglui,欠人鐳
khiamlanglui,khiàm-lâng-lui
khiamlui,欠鐳
khiamlui,khiàm-lui
khiamsenn,儉省
khiamsenn,khiām-sénn
khiamtuann,欠單
khiamtuann,khiàm-tuann
khianghong,鏗鍧
khianghong,khiang-hong
khiangkhianghonghong,鏗鏗鍧鍧
khiangkhianghonghong,khiang-khiang-hong-hong
khianseng,虔誠
khianseng,khiân-sêng
khiansng,遣爽
khiansng,khiàn-sńg
khiansng,譴損
khiansng,khiàn-sńg
khiantsek,譴責
khiantsek,khián-tsek
khiapeehbee,騎白馬
khiapeehbee,khiâ-pe̍eh-bée
khiasin,企身
khiasin,khiā-sin
khiasiu,企泅
khiasiu,khiā-siû
khiasuinn,徛算
khiasuinn,khiā-suìnn
khiasuinnkong,徛算講
khiasuinnkong,khiā-suìnn-kóng
khiatengko,徛燈篙
khiatengko,khiā-teng-ko
khiathau,企頭
khiathau,khiā-thâu
khiau,起嘔
khiau,khí-áu
khiaua,企倚
khiaua,khiā-uá
khiaubue,翹尾
khiaubue,khiàu-bué
khiauepeng,徛衛兵
khiauepeng,khiā-uē-peng
khiauheebi,翹蝦米
khiauheebi,khiàu-hêe-bí
khiauinn,徛黃
khiauinn,khiā-uînn
khiaukhi,巧氣
khiaukhi,khiáu-khì
khiaukhut,曲屈
khiaukhut,khiau-khut
khiaukut,巧骨
khiaukut,khiáu-kut
khiaunn,噤
khiaunn,khiāunn
khiaunn,腔
khiaunn,khiaunn
khiaunnkhau,腔口
khiaunnkhau,khiaunn-kháu
khiaunntshui,噤喙
khiaunntshui,khiāunn-tshuì
khiausin,巧神
khiausin,khiáu-sîn
khibak,起目
khibak,khí-ba̍k
khibee,起馬
khibee,khí-bée
khibin,齒抿
khibin,khí-bín
khibintshng,起眠床
khibintshng,khí-bîn-tshn̂g
khibong,起墓
khibong,khí-bōng
khibu,起舞
khibu,khí-bú
khigi,起疑
khigi,khí-gî
khigian,起癮
khigian,khí-giàn
khihiau,起姣
khihiau,khí-hiâu
khihong,起瘋
khihong,氣遑
khihong,khí-hong
khihong,khì-hōng
khihuainn,起橫
khihuainn,khí-huâinn
khihue,起貨
khihue,khí-huè
khiiaunnhin,起羊眩
khiiaunnhin,khí-iâunn-hîn
khiionnhin,起羊眩
khiionnhin,khí-iônn-hîn
khikang,起工
khikang,khí-kang
khikau,去到
khikau,khì-kàu
khikauleng,起蛟龍
khikauleng,khí-kau-lêng
khikee,起家
khikee,khí-kee
khikee,起價
khikee,khí-kèe
khikha,起骹
khikha,khí-kha
khikhatangtshiu,起骹動手
khikhatangtshiu,khí-kha-tāng-tshiú
khikhi,起去
khikhi,khí-khì
khikiu,氣球
khikiu,khì-kiû
khikkhikkhokkhok,khi̍k-khi̍k-硞硞
khikkhikkhokkhok,khi̍k-khi̍k-khok-khok
khikut,起骨
khikut,khí-kut
khilata,起-lā-ta
khilata,khí-lā-ta
khilau,起樓
khilau,khí-lâu
khiliauliau,去了了
khiliauliau,khì-liáu-liáu
khiliong,器量
khiliong,khì-liōng
khilip,起立
khilip,khí-li̍p
khiloo,起路
khiloo,khí-lōo
khimia,起名
khimia,khí-miâ
khimookuinn,起毛管
khimookuinn,khí-môo-kuínn
khimoosin,起魔神
khimoosin,khí-môo-sîn
khimootsih,起毛摺
khimootsih,khí-môo-tsih
khimsai,琴師
khimsai,khîm-sai
khimsiann,琴聲
khimsiann,khîm-siann
khimtsenga,琴鐘仔
khimtsenga,khîm-tseng-á
khinbin,輕眠
khinbin,khin-bîn
khinheng,輕型
khinheng,khin-hêng
khinkhin,輕輕
khinkhin,khin-khin
khinnkee,拑家
khinnkee,khînn-kee
khinsiah,輕錫
khinsiah,khin-siah
khinsiannsekhi,輕聲細氣
khinsiannsekhi,khin-siann-sè-khì
khioh,起學
khioh,khí-o̍h
khioh,擷
khioh,khioh
khiohangtiam,抾紅點
khiohangtiam,khioh-âng-tiám
khiohgina,擷囡仔
khiohgina,khioh-gín-á
khiohioh,擷藥
khiohioh,khioh-io̍h
khiohkeng,抾襇
khiohkeng,khioh-kéng
khiohkheeh,抾客
khiohkheeh,擷客
khiohkheeh,khioh-kheeh
khiohkiann,抾囝
khiohkiann,khioh-kiánn
khiohkiannbo,抾囝母
khiohkiannbo,khioh-kiánn-bó
khiohkim,抾金
khiohkim,擷金
khiohkim,khioh-kim
khiohkut,擷骨
khiohkut,khioh-kut
khiohlui,擷鐳
khiohlui,khioh-lui
khiohsau,擷掃
khiohsau,khioh-sàu
khiohse,抾稅
khiohse,khioh-se
khiohsip,擷拾
khiohsip,khioh-si̍p
khiohtsha,擷柴
khiohtsha,khioh-tshâ
khiongleng,恐龍
khiongleng,khióng-lêng
khiongpoohuntsu,恐怖份子
khiongpoohuntsu,khióng-pòo-hūn-tsú
khionn,噤
khionn,khiōnn
khionn,腔
khionn,khionn
khionnkhau,腔口
khionnkhau,khionn-kháu
khionntshui,噤喙
khionntshui,khiōnn-tshuì
khipenn,起棚
khipenn,起病
khipenn,khí-pênn
khipenn,khí-pēnn
khiphek,氣魄
khiphek,khì-phek
khipho,起坡
khipho,khí-pho
khiphue,起皮
khiphue,去皮
khiphue,khí-phuê
khiphue,khì-phuê
khisat,起殺
khisat,khí-sat
khisau,起嗽
khisau,khí-sàu
khisek,起色
khisek,氣色
khisek,khí-sek
khisek,khì-sek
khiseng,起先
khiseng,khí-seng
khisengte,起性地
khisengte,khí-sèng-tē
khisiaukin,起痟筋
khisiaukin,khí-siáu-kin
khisiaunn,齒𣻸
khisiaunn,khí-siâunn
khisim,起心
khisim,khí-sim
khisionn,齒𣻸
khisionn,khí-siônn
khisuann,起山
khisuann,khí-suann
khitang,起重
khitang,khí-tāng
khithauhong,起頭瘋
khithauhong,khí-thâu-hong
khitheng,起程
khitheng,khí-thêng
khithiap,起貼
khithiap,khí-thiap
khithoo,起塗
khithoo,khí-thôo
khitiaunn,起場
khitiaunn,khí-tiâunn
khitionn,起場
khitionn,khí-tiônn
khitoh,起桌
khitoh,khí-toh
khitsa,起早
khitsa,khí-tsá
khitsau,起走
khitsau,khí-tsáu
khitsau,起灶
khitsau,khí-tsàu
khitshia,起車
khitshia,khí-tshia
khitshiulohto,起手落刀
khitshiulohto,khí-tshiú-lo̍h-to
khitshu,起茨
khitshu,khí-tshù
khitsiah,去食
khitsiah,khì-tsia̍h
khitsian,乞善
khitsian,khit-siān
khitsui,起水
khitsui,去水
khitsui,khí-tsuí
khitsui,khì-tsuí
khittsiaha,乞食仔
khittsiaha,khit-tsia̍h-á
khituakong,起大狂
khituakong,khí-tuā-kông
khiu,糺
khiu,khiû
khiuann,起晏
khiuann,khí-uànn
khiumoo,虯毛
khiumoo,khiû-môo
khiun,起運
khiun,khí-ūn
khohakka,科學家
khohakka,kho-ha̍k-ka
khohek,考核
khohek,khó-he̍k
khokaki,靠家己
khokaki,khò-ka-kī
khokgin,擴銀
khokgin,khok-gîn
khokheng,酷刑
khokheng,khok-hêng
khokkim,擴金
khokkim,khok-kim
khokpo,擴寶
khokpo,khok-pó
khokuinn,考卷
khokuinn,khó-kuìnn
kholeng,可能
kholeng,khó-lêng
kholianbin,可憐面
kholianbin,khó-liân-bīn
kholiantai,可憐呆
kholiantai,khó-liân-tai
khongbahpuinn,炕肉飯
khongbahpuinn,khòng-bah-puīnn
khongbengteng,孔明燈
khongbengteng,khóng-bêng-teng
khongbengtshia,孔明車
khongbengtshia,khóng-bêng-tshia
khongheng,抗衡
khongheng,khòng-hêng
khonghok,康復
khonghok,khong-ho̍k
khongiohseng,抗藥性
khongiohseng,khòng-io̍h-sèng
khongkhakhiau,吭骹翹
khongkhakhiau,khōng-kha-khiàu
khongkhongsann,〇〇三
khongkhongsann,空空三
khongkhongsann,khòng-khòng-sann
khongsan,礦產
khongsan,khòng-sán
khongsek,紺色
khongsek,khóng-sek
khongsengbio,孔聖廟
khongsengbio,khóng-sèng-biō
khongsengsoo,抗生素
khongsengsoo,khòng-seng-sòo
khongtseng,抗爭
khongtseng,khòng-tseng
khongtsetsiah,控制食
khongtsetsiah,khòng-tsè-tsia̍h
khongtsu,孔子
khongtsu,khóng-tsú
khoobahke,苦肉計
khoobahke,khóo-bah-kè
khoobi,苦味
khoobi,khóo-bī
khooioh,苦藥
khooioh,khóo-io̍h
khookha,褲骹
khookha,khòo-kha
khookua,苦瓜
khookua,khóo-kua
khookuathng,苦瓜湯
khookuathng,khóo-kua-thng
khookun,苦困
